--------- beginning of main
10-19 17:19:22.507 21104 21184 I FusedLocation: (REDACTED) location delivery to %s blocked - too close
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.t(:com.google.android.gms@254031035@25.40.31 (260400-816341114):26)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpjr.e(:com.google.android.gms@254031035@25.40.31 (260400-816341114):3)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpjt.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):138)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpma.execute(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.f(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.m(:com.google.android.gms@254031035@25.40.31 (260400-816341114):99)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.r(:com.google.android.gms@254031035@25.40.31 (260400-816341114):17)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpko.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):77)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpma.execute(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.f(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.m(:com.google.android.gms@254031035@25.40.31 (260400-816341114):99)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.t(:com.google.android.gms@254031035@25.40.31 (260400-816341114):26)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpmx.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):5)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpma.execute(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.f(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.m(:com.google.android.gms@254031035@25.40.31 (260400-816341114):99)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkb.t(:com.google.android.gms@254031035@25.40.31 (260400-816341114):26)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkm.e(:com.google.android.gms@254031035@25.40.31 (260400-816341114):3)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpko.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):44)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpod.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):64)
10-19 17:19:36.831 21104  9220 W anqe    : 	... 6 more
10-19 17:19:36.831 21104  9220 W anqe    : Caused by: flxc: Requested group not found.
10-19 17:19:36.831 21104  9220 W anqe    : 	at flxa.a(:com.google.android.gms@254031035@25.40.31 (260400-816341114):30)
10-19 17:19:36.831 21104  9220 W anqe    : 	at fmce.a(:com.google.android.gms@254031035@25.40.31 (260400-816341114):19)
10-19 17:19:36.831 21104  9220 W anqe    : 	at ghbr.a(:com.google.android.gms@254031035@25.40.31 (260400-816341114):13)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpkm.d(:com.google.android.gms@254031035@25.40.31 (260400-816341114):3)
10-19 17:19:36.831 21104  9220 W anqe    : 	at gpko.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):38)
10-19 17:19:36.831 21104  9220 W anqe    : 	... 7 more
10-19 17:19:36.833  5589  5589 D BLASTBufferQueue: [SurfaceView[InputMethod]#2099](f:0,a:0) destructor()
10-19 17:19:36.833  5589  5589 D BufferQueueConsumer: [SurfaceView[InputMethod]#2099(BLAST Consumer)2099](id:15d500000833,api:0,p:-1,c:5589) disconnect
10-19 17:19:36.833  1870  3606 D BatteryStatsService: noteVideoSurfaceChanged  noteWhich: 49,arg1: -1, arg2: -1, arg3: 5589, arg4: 105641, name: com.google.android.inputmethod.latin
10-19 17:19:36.834 21163  8731 I SyncManager: (REDACTED) Executing sync(type=%s%s)
10-19 17:19:36.838 21163  8731 I SyncManager: (REDACTED) Executing sync(type=%s) finished in %s
10-19 17:19:36.843 21163 21212 I AutofillPreferences: The stored preference is not current autofill service. Clean permission. [CONTEXT service_id=177 ]
10-19 17:19:36.843 21163 21212 I AutofillPreferences: cleanPermission [CONTEXT service_id=177 ]
10-19 17:19:36.845  5589  5589 I KeyboardModeUtils: KeyboardModeUtils.getKeyboardBottomOffset():435 inch: 0.000000 ydpi: 387.429993 adjustKeyboardBottomByDisplaySize: false currentDensityDpi: 440 defaultDensityDpi: 440 keyboardBottomToScreenPx: 0 keyboardBottomToNavBarPx: -116 navBarHeight: 116
10-19 17:19:36.845  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:36.845  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:36.845  5589  5589 I AndroidIME: KeyboardViewManager.updateKeyboardBodyViewHolderPaddingBottom():472 Set finalPaddingBottom = 5 while holderPaddingBottom = 5; navigationHeight = 116
10-19 17:19:36.856 21163 21212 I AutofillPreferences: The stored preference is not current autofill service. Clean permission. [CONTEXT service_id=177 ]
10-19 17:19:36.856 21163 21212 I AutofillPreferences: cleanPermission [CONTEXT service_id=177 ]
10-19 17:19:36.989  3458  3458 V InlineSuggestionRenderService: Releasing inline suggestion view host
10-19 17:19:37.006  3458  3458 D BLASTBufferQueue: [VRI[]#477](f:0,a:4) destructor()
10-19 17:19:37.006  3458  3458 D BufferQueueConsumer: [VRI[]#477(BLAST Consumer)477](id:d82000001dd,api:0,p:-1,c:3458) disconnect
10-19 17:19:37.016  3458  3458 V InlineSuggestionRenderService: Removed the inline suggestion from the cache, current size=0
10-19 17:19:37.181  1870  1870 D AutofillSession: Service did not request to wait for delayed fill response.
10-19 17:19:37.514 21104 21184 I FusedLocation: (REDACTED) location delivery to %s blocked - too close
10-19 17:19:37.514 21104 21184 I FusedLocation: (REDACTED) location delivery to %s blocked - too fast
10-19 17:19:37.514 21104 21184 I FusedLocation: (REDACTED) location delivery to %s blocked - too close
10-19 17:19:37.516 21104 21184 I FusedLocation: (REDACTED) location delivery to %s blocked - too close
10-19 17:19:37.519 21104 21184 I FusedLocation: (REDACTED) location delivery to %s blocked - too fast
10-19 17:19:38.064  5589  5589 W TooltipLifecycleManager: TooltipLifecycleManager.dismissTooltips():153 Tooltip with id SUGGESTION_VIEW_EDU_MINI_DIALOG not found in tooltipManager.
10-19 17:19:38.103  5589  5589 I GoogleInputMethodService: GoogleInputMethodService.onFinishInputView():1571 onFinishInputView(true)
10-19 17:19:38.103  5589  5589 I GlobeKeyExtension: GlobeKeyExtension.onDeactivate():144 
10-19 17:19:38.103  5589  5589 W TooltipLifecycleManager: TooltipLifecycleManager.dismissTooltips():153 Tooltip with id SUGGESTION_VIEW_EDU_MINI_DIALOG not found in tooltipManager.
10-19 17:19:38.104  5589  5589 I VoiceInputManagerWrapper: VoiceInputManagerWrapper.shutdown():131 shutdown()
10-19 17:19:38.105  5589  5589 W TooltipLifecycleManager: TooltipLifecycleManager.dismissTooltips():153 Tooltip with id spell_check_add_to_dictionary not found in tooltipManager.
10-19 17:19:38.106  5589  5589 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2085 
10-19 17:19:38.107  5589  5589 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
10-19 17:19:38.107  5589  5589 W TooltipLifecycleManager: TooltipLifecycleManager.dismissTooltips():153 Tooltip with id SUGGESTION_VIEW_EDU_MINI_DIALOG not found in tooltipManager.
10-19 17:19:38.107  5589  5589 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1346 onStartInput(EditorInfo{EditorInfo{packageName=com.a1taxi.a1taxicustomer, inputType=4002, inputTypeString=Number, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=6, privateImeOptions=null, actionName=DONE, actionLabel=null, initialSelStart=0, initialSelEnd=0, initialCapsMode=2000, label=null, fieldId=6399, fieldName=null, extras=Bundle[mParcelledData.dataSize=404], hintText=empty, hintLocales=[]}}, false)
10-19 17:19:38.108  5589  5589 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
10-19 17:19:38.109  1870  3647 D AutofillSession: createPendingIntent for request 2290
10-19 17:19:38.110  5589  5589 I GoogleInputMethodService: GoogleInputMethodService.onStartInputView():1439 onStartInputView(EditorInfo{EditorInfo{packageName=com.a1taxi.a1taxicustomer, inputType=4002, inputTypeString=Number, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=6, privateImeOptions=null, actionName=DONE, actionLabel=null, initialSelStart=0, initialSelEnd=0, initialCapsMode=2000, label=null, fieldId=6399, fieldName=null, extras=Bundle[{android.support.text.emoji.emojiCompat_metadataVersion=11, androidx.core.view.inputmethod.EditorInfoCompat.STYLUS_HANDWRITING_ENABLED=true, android.support.text.emoji.emojiCompat_replaceAll=false}], hintText=empty, hintLocales=[]}}, false)
10-19 17:19:38.110  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.getOemKeyboardHeightRatio():108 systemKeyboardHeightRatio:1.000000.
10-19 17:19:38.111  5589  5589 I AndroidIME: InputBundleManager.loadActiveInputBundleId():528 loadActiveInputBundleId: und-Latn-x-number, number
10-19 17:19:38.111  5589  5589 I KeyboardWrapper: KeyboardWrapper.activateKeyboard():581 activateKeyboard(): type=prime, status=INACTIVE, imeDef=mkk{stringId=number, language=und-Latn-x-number, languageTag=und-Latn-x-number, processedConditions={}, className=com.google.android.libraries.inputmethod.ime.DummyIme, label=2132019216, keyEventInterpreter=null, inlineComposing=true, autoCapital=false, announceAutoSelectedCandidate=false, statusIcon=0, indicatorIcon=0, indicatorLabel=null, displayAppCompletions=false, extraValues=mkd{}, processors=mmb@7d3d911, unacceptableMetaKeys=4098, languageSpecificSettings=0, asciiCapable=false, alwaysShowSuggestions=false, useAsciiPasswordKeyboard=false, keyboardGroupDef=mlk@821ce4, phenotypeFlagId=0, localizationLanguageTag=null, supportsInlineSuggestion=false}
10-19 17:19:38.111  5589  5589 I KeyboardManager: KeyboardManager.requestKeyboard():248 Creating keyboard prime, imeId=number, cacheKey=theme,!gsf,!pgsans,!pgsf,!use_system_font,BORDER,FLAVOR_DPI=XXHDPI,GOOGLE_ICONS,KEYBOARD_WIDTH_CATEGORY=NORMAL,KEY_BORDER_SHAPE=1,LIGHT_THEME=false,PHYSICAL_DIAGONAL=5.748144,POPUP,SCREEN_SHORTEST_WIDTH=393,SCREEN_SHORTEST_WIDTH_NO_SCALE=393,XXHDPI,bottom4dp,enable_emoji_kitchen_browse_color_v2=true,enable_google_fonts_icons=true,enable_popup_on_keypress=true,keyboard_redesign_google_sans=true,non_linear_scale,noshadow,overlay_builtin_dynamic_color_dark_base.binarypb:gm3-dark-ff131313-ffffffff-4d9204e36e3ccb6a165e3e3dbe763ce0,roundedchip,silkpopup
10-19 17:19:38.111  5589  5589 I KeyboardWrapper: KeyboardWrapper.onKeyboardReady():224 onKeyboardReady(): type=prime(prime), kb=com.google.android.apps.inputmethod.latin.keyboard.LatinNumberKeyboard@508e2c3
10-19 17:19:38.111  5589  5589 I KeyboardWrapper: KeyboardWrapper.doActivateKeyboard():611 doActivateKeyboard(): prime
10-19 17:19:38.113  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.113  5589  5589 W TooltipLifecycleManager: TooltipLifecycleManager.dismissTooltips():153 Tooltip with id undo_access_point_promotion_banner not found in tooltipManager.
10-19 17:19:38.113  5589  5589 I GlobeKeyExtension: GlobeKeyExtension.getKeyboardInitialStates():175 
10-19 17:19:38.114  5589  5589 W Keyboard: Keyboard.getKeyboardViewHelper():609 null helper is returned: keyboardDef=mle{processedConditions={enable_access_points_in_password_number=true, enable_correction_settings_updates=true, layout_9key_split=false, language=en-US, deprecate_long_press_space_for_ime_picker=false, show_suggestion_strip=true, device=phone, expressions=normal}, globalConditions={global_theme_key=theme,!gsf,!pgsans,!pgsf,!use_system_font,BORDER,FLAVOR_DPI=XXHDPI,GOOGLE_ICONS,KEYBOARD_WIDTH_CATEGORY=NORMAL,KEY_BORDER_SHAPE=1,LIGHT_THEME=false,PHYSICAL_DIAGONAL=5.748144,POPUP,SCREEN_SHORTEST_WIDTH=393,SCREEN_SHORTEST_WIDTH_NO_SCALE=393,XXHDPI,bottom4dp,enable_emoji_kitchen_browse_color_v2=true,enable_google_fonts_icons=true,enable_popup_on_keypress=true,keyboard_redesign_google_sans=true,non_linear_scale,noshadow,overlay_builtin_dynamic_color_dark_base.binarypb:gm3-dark-ff131313-ffffffff-4d9204e36e3ccb6a165e3e3dbe763ce0,roundedchip,silkpopup, global_locale=en_US, global_density_dpi=440, global_orientation=1}, className=.latin.keyboard.LatinNumberKeyboard, resourceIds=[#0x7f17086b], initialStates=0, keyboardViewDefs=[mls{direction=LOCALE, id=#0x7f0b0224, isScalable=false, layoutId=#0x7f0e0500, type=HEADER, touchable=true, defaultShow=true}, mls{direction=null, id=#0x7f0b0224, isScalable=true, layoutId=#0x7f0e0556, type=BODY, touchable=true, defaultShow=true}], persistentStates=0, persistentStatesPrefKey=null, popupBubbleLayoutId=#0x7f0e05f1, recentKeyLayoutId=0, recentKeyPopupLayoutId=0, recentKeyType=null, rememberRecentKey=NONE, sessionStates=0}, type=FLOATING_CANDIDATES, helpersCreated=[lxm@e7604a8, lxm@f9b5bc1, null, null], context.getResources().getConfiguration(): {1.0 405mcc869mnc [en_US] ldltr sw393dp w393dp h790dp 440dpi nrml long port night finger -keyb/v/h -nav/h winConfig={ mBounds=Rect(0, 0 - 1080, 2392) mAppBounds=Rect(0, 103 - 1080, 2276) mMaxBounds=Rect(0, 0 - 1080, 2392) mDisplayRotation=ROTATION_0 mWindowingMode=fullscreen mActivityType=undefined mAlwaysOnTop=undefined mRotation=ROTATION_0 isEmbedding:false} s.5420 fontWeightAdjustment=0 themeId=2 themeParameter=0 nightModeLevel = -1 typefaceChanged=0.0 ?spacesystem eaMode=1}
10-19 17:19:38.114  5589  5589 W Keyboard: Keyboard.getKeyboardViewHelper():609 null helper is returned: keyboardDef=mle{processedConditions={enable_access_points_in_password_number=true, enable_correction_settings_updates=true, layout_9key_split=false, language=en-US, deprecate_long_press_space_for_ime_picker=false, show_suggestion_strip=true, device=phone, expressions=normal}, globalConditions={global_theme_key=theme,!gsf,!pgsans,!pgsf,!use_system_font,BORDER,FLAVOR_DPI=XXHDPI,GOOGLE_ICONS,KEYBOARD_WIDTH_CATEGORY=NORMAL,KEY_BORDER_SHAPE=1,LIGHT_THEME=false,PHYSICAL_DIAGONAL=5.748144,POPUP,SCREEN_SHORTEST_WIDTH=393,SCREEN_SHORTEST_WIDTH_NO_SCALE=393,XXHDPI,bottom4dp,enable_emoji_kitchen_browse_color_v2=true,enable_google_fonts_icons=true,enable_popup_on_keypress=true,keyboard_redesign_google_sans=true,non_linear_scale,noshadow,overlay_builtin_dynamic_color_dark_base.binarypb:gm3-dark-ff131313-ffffffff-4d9204e36e3ccb6a165e3e3dbe763ce0,roundedchip,silkpopup, global_locale=en_US, global_density_dpi=440, global_orientation=1}, className=.latin.keyboard.LatinNumberKeyboard, resourceIds=[#0x7f17086b], initialStates=0, keyboardViewDefs=[mls{direction=LOCALE, id=#0x7f0b0224, isScalable=false, layoutId=#0x7f0e0500, type=HEADER, touchable=true, defaultShow=true}, mls{direction=null, id=#0x7f0b0224, isScalable=true, layoutId=#0x7f0e0556, type=BODY, touchable=true, defaultShow=true}], persistentStates=0, persistentStatesPrefKey=null, popupBubbleLayoutId=#0x7f0e05f1, recentKeyLayoutId=0, recentKeyPopupLayoutId=0, recentKeyType=null, rememberRecentKey=NONE, sessionStates=0}, type=WIDGET, helpersCreated=[lxm@e7604a8, lxm@f9b5bc1, null, null], context.getResources().getConfiguration(): {1.0 405mcc869mnc [en_US] ldltr sw393dp w393dp h790dp 440dpi nrml long port night finger -keyb/v/h -nav/h winConfig={ mBounds=Rect(0, 0 - 1080, 2392) mAppBounds=Rect(0, 103 - 1080, 2276) mMaxBounds=Rect(0, 0 - 1080, 2392) mDisplayRotation=ROTATION_0 mWindowingMode=fullscreen mActivityType=undefined mAlwaysOnTop=undefined mRotation=ROTATION_0 isEmbedding:false} s.5420 fontWeightAdjustment=0 themeId=2 themeParameter=0 nightModeLevel = -1 typefaceChanged=0.0 ?spacesystem eaMode=1}
10-19 17:19:38.115  5589  5589 I AndroidIME: InputBundleManager.startInput():358 startInput() with mlo[keyboardType=prime, payload=null]
10-19 17:19:38.115  5589  5589 I GlobeKeyExtension: GlobeKeyExtension.onActivate():120 
10-19 17:19:38.116  5589  5589 I LanguagePromoExtension: LanguagePromoExtension.checkDisplayPreconditions():174 Not show language promo: exceeds the max display times.
10-19 17:19:38.117  5589  5589 I NewLanguagePromptExtension: NewLanguagePromptExtension.onActivate():189 Not activated NewLanguagePromptExtension: not a normal text input box.
10-19 17:19:38.117  5589  5589 I VoiceInputManagerWrapper: VoiceInputManagerWrapper.cancelShutdown():109 cancelShutdown()
10-19 17:19:38.117  5589  5589 I VoiceInputManagerWrapper: VoiceInputManagerWrapper.syncLanguagePacks():121 syncLanguagePacks()
10-19 17:19:38.117  5589  5589 I VoiceInputManager: VoiceInputManager.onKeyboardActivated():1173 onKeyboardActivated() [UD]
10-19 17:19:38.117  5589  5589 I PkModeUpdater: PkModeUpdater.onActivate():74 onActivate false true
10-19 17:19:38.117  5589  5589 I AccessoryInputModeManager: AccessoryInputModeManager.onModeStarted():318 Accessory input mode started: null
10-19 17:19:38.117  5589  6558 I SpeechFactory: SpeechRecognitionFactory.maybeScheduleAutoPackDownloadForFallback():217 maybeScheduleAutoPackDownloadForFallback()
10-19 17:19:38.117  5589  5589 W SupplementaryKeyboardsWrapper: SupplementaryKeyboardsWrapper.deactivateKeyboard():161 keyboard accessory_candidates_consumer is not activated before!
10-19 17:19:38.117  5589  6558 I FallbackOnDeviceRecognitionProvider: FallbackOnDeviceRecognitionProvider.maybeScheduleAutoPackDownload():205 maybeScheduleAutoPackDownload() for language tag en-US
10-19 17:19:38.118  5589  5589 I KeyboardModeUtils: KeyboardModeUtils.getKeyboardBottomOffset():435 inch: 0.000000 ydpi: 387.429993 adjustKeyboardBottomByDisplaySize: false currentDensityDpi: 440 defaultDensityDpi: 440 keyboardBottomToScreenPx: 0 keyboardBottomToNavBarPx: -116 navBarHeight: 116
10-19 17:19:38.118  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.118  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.118  5589  5589 I AndroidIME: KeyboardViewManager.updateKeyboardBodyViewHolderPaddingBottom():472 Set finalPaddingBottom = 5 while holderPaddingBottom = 5; navigationHeight = 116
10-19 17:19:38.118  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.118  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.118  5589  5589 W ExtensionWrapper: ExtensionWrapper.setExtensionViewVisibility():811 interface mas is not activate
10-19 17:19:38.119  5589  5589 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
10-19 17:19:38.120  5589  5589 I StylusModule: StylusModule.onUpdateToolType():800 Update tool type = 1
10-19 17:19:38.120  5589  5589 I StylusModule: StylusModule.onUpdateToolType():800 Update tool type = 1
10-19 17:19:38.123  5589  5589 I KeyboardModeUtils: KeyboardModeUtils.getKeyboardBottomOffset():435 inch: 0.000000 ydpi: 387.429993 adjustKeyboardBottomByDisplaySize: false currentDensityDpi: 440 defaultDensityDpi: 440 keyboardBottomToScreenPx: 0 keyboardBottomToNavBarPx: -116 navBarHeight: 116
10-19 17:19:38.123  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.123  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.124  5589  5589 I AndroidIME: KeyboardViewManager.updateKeyboardBodyViewHolderPaddingBottom():472 Set finalPaddingBottom = 5 while holderPaddingBottom = 5; navigationHeight = 116
10-19 17:19:38.124  5589  5589 I WindowMetricsNotification: WindowMetricsNotification.notifyWithWindow():166 
10-19 17:19:38.124  5589  5589 I WindowMetricsNotification: WindowMetricsNotification.notify():159 pfu[bounds=Rect(0, 105 - 1080, 2392), insets=Rect(0, 0 - 0, 116), densityDpi=440, smallestScreenWidthDp=393, displayWidth=1080, displayHeight=2392, xdpi=387.43, ydpi=387.43, isTrustable=true, displayId=0]; DisplayMetrics{density=2.75, width=1080, height=2392, scaledDensity=2.75, xdpi=387.43, ydpi=387.43}
10-19 17:19:38.128  5589  5589 I GoogleInputMethodService: GoogleInputMethodService$1.onKeyboardViewShown():325 onKeyboardViewShown: keyboardType=prime, keyboardViewType=HEADER keyboardView=com.google.android.libraries.inputmethod.widgets.SoftKeyboardView{9a4bdd2 V.E...... ........ 0,0-1080,121}
10-19 17:19:38.129  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.129  5589  5589 I GoogleInputMethodService: GoogleInputMethodService$1.onKeyboardViewShown():325 onKeyboardViewShown: keyboardType=prime, keyboardViewType=BODY keyboardView=com.google.android.libraries.inputmethod.widgets.SoftKeyboardView{84bc248 V.E...... ........ 0,0-1080,580}
10-19 17:19:38.129  5589  5589 I KeyboardHeightUtil: KeyboardHeightUtil.calculateMaxKeyboardBodyHeight():50 leave 267 height for app when ime window height:2171, header height:121 and isFullscreenMode:false, so the max keyboard body height is:1783
10-19 17:19:38.129  5589  5589 I GlobeKeyExtension: GlobeKeyExtension$1.onKeyboardViewShown():72 maybeDisableLanguageSwitchKeyPref when the keyboard is shown
10-19 17:19:38.129  5589  5589 I GlobeKeyExtension: GlobeKeyExtension.maybeDisableLanguageSwitchKeyPref():200 maybeDisableLanguageSwitchKeyPref hasGlobeKeyBeenDisabled: false, shouldDisableLanguageSwitchKey: false
10-19 17:19:38.129  5589  5589 I NewLanguagePromptExtension: NewLanguagePromptExtension$1.onKeyboardViewShown():88 Not show new language banner: not prime keyboard, or the extension not activated.
10-19 17:19:38.136 21163  8731 I SyncManager: (REDACTED) Executing sync(type=%s%s)
10-19 17:19:38.137 21104  9221 W anqe    : Failed to retrieve prediction data. [CONTEXT service_id=177 ]
10-19 17:19:38.137 21104  9221 W anqe    : java.util.concurrent.ExecutionException: fnpd: No active MDD filegroup android-autofill-infinitedata found for the table autofill-domain-predictions-prod-spanner.
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.j(:com.google.android.gms@254031035@25.40.31 (260400-816341114):21)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkk.v(:com.google.android.gms@254031035@25.40.31 (260400-816341114):31)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.get(:com.google.android.gms@254031035@25.40.31 (260400-816341114):2)
10-19 17:19:38.137 21104  9221 W anqe    : 	at anqe.e(:com.google.android.gms@254031035@25.40.31 (260400-816341114):81)
10-19 17:19:38.137 21104  9221 W anqe    : 	at anqe.a(:com.google.android.gms@254031035@25.40.31 (260400-816341114):124)
10-19 17:19:38.137 21104  9221 W anqe    : 	at anno.call(:com.google.android.gms@254031035@25.40.31 (260400-816341114):5)
10-19 17:19:38.137 21104  9221 W anqe    : 	at java.util.concurrent.FutureTask.run(FutureTask.java:317)
10-19 17:19:38.137 21104  9221 W anqe    : 	at bckr.c(:com.google.android.gms@254031035@25.40.31 (260400-816341114):50)
10-19 17:19:38.137 21104  9221 W anqe    : 	at bckr.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):73)
10-19 17:19:38.137 21104  9221 W anqe    : 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1156)
10-19 17:19:38.137 21104  9221 W anqe    : 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:651)
10-19 17:19:38.137 21104  9221 W anqe    : 	at bcqi.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):8)
10-19 17:19:38.137 21104  9221 W anqe    : 	at java.lang.Thread.run(Thread.java:1119)
10-19 17:19:38.137 21104  9221 W anqe    : Caused by: fnpd: No active MDD filegroup android-autofill-infinitedata found for the table autofill-domain-predictions-prod-spanner.
10-19 17:19:38.137 21104  9221 W anqe    : 	at fnpr.a(:com.google.android.gms@254031035@25.40.31 (260400-816341114):13)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpjr.d(:com.google.android.gms@254031035@25.40.31 (260400-816341114):3)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpjt.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):130)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpma.execute(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.f(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.m(:com.google.android.gms@254031035@25.40.31 (260400-816341114):99)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.r(:com.google.android.gms@254031035@25.40.31 (260400-816341114):17)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpko.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):77)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpma.execute(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.f(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.m(:com.google.android.gms@254031035@25.40.31 (260400-816341114):99)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpkb.t(:com.google.android.gms@254031035@25.40.31 (260400-816341114):26)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpjr.e(:com.google.android.gms@254031035@25.40.31 (260400-816341114):3)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpjt.run(:com.google.android.gms@254031035@25.40.31 (260400-816341114):138)
10-19 17:19:38.137 21104  9221 W anqe    : 	at gpma.execute(:com.google.android.gms@254031035@25.40.31 (260400-816341114):1)
